
id,idiom,meaning
49,見微知著,見到細微的苗頭，就能知道事物的發展趨勢。
50,慧眼識珠,能識別珍貴人才的眼力。
51,心如明鏡,心裡清楚明白，像明鏡一樣。
52,靈機一動,突然想出一個好主意。
53,別出心裁,獨創一格，與眾不同。
54,匠心獨運,巧妙的心思，非凡的藝術構思。
55,豁然開朗,形容一下子明白過來或眼前的視野突然開闊。
56,茅塞頓開,形容閉塞的思路突然通暢明白。
57,料事如神,預料事情非常準確，就像神仙一樣。
58,通情達理,懂得道理，說話做事合情合理。
59,思索萬千,內心有極多的思緒與想法。
60,心安理得,自信作法合理，心裡很坦然。
61,怡然自得,形容喜悅、安適而滿足的樣子。
62,泰然處之,形容對待生老病死或緊急情況毫不在意、神態自若。
63,隨遇而安,在任何環境中都能安然滿足。
64,心平氣和,心情平靜，態度溫和。
65,安居樂業,人民生活安定，快樂地從事工作。
66,春風得意,形容官場發達或心情十分愉快的樣子。
67,喜笑顏開,心裡歡喜，臉上帶著笑容。
68,神清氣爽,神情清爽，氣色舒暢。
69,心曠神怡,心情開朗，精神愉悅。
70,悠然自得,安閒舒適，自得其樂。
71,歡欣鼓舞,歡樂而受到鼓舞，形容興奮熱烈。
72,興高采烈,興致高昂，情緒熱烈。
73,樂在其中,從中獲得樂趣。
74,百感交集,各種情感交織在一起。
75,思緒萬千,思想頭緒極多，感觸深。
76,忐忑不安,心神不定，十分憂慮。
77,憂心忡忡,形容憂愁不安的樣子。
78,心急如焚,心裡焦急得像火燒一樣。
79,如釋重負,像放下重擔一樣，形容緊張的心情過去以後的輕鬆愉快。
80,肝膽相照,比喻對人赤誠相待，真心合作。
81,志同道合,志趣相同，意見一致。
82,情深義重,情意深遠，恩義重大。
83,守望相助,鄰里之間守衛相望，互相協助。
84,相濡以沫,比喻在困境中互相以微薄的力量照顧扶持。
85,推心置腹,把誠心交給對方，形容待人極為真誠。
86,刎頸之交,可以共生死的朋友（生死之交）。
87,莫逆之交,心意相投、至交好友。
88,伯牙絕弦,比喻知音難覓或痛失知己。
89,患難與共,共同經歷危難。
90,同舟共濟,比喻同心協力，克服困難。
91,和氣生財,態度和善能帶來財運或好運。
92,融洽無間,彼此關係好，沒有一點隔閡。
93,尊師重道,尊敬師長，重視道德。
94,飲水思源,喝水時想到水源，比喻不忘本。
95,知恩圖報,得到別人的恩惠，心懷感激並設法回報。
96,禮尚往來,禮節上講究有來有往。
97,彬彬有禮,形容人的舉止溫和有禮貌。
98,相敬如賓,夫妻互相敬重，如同對待賓客。
99,情同手足,感情深厚，如同親兄弟姊妹。
100,白駒過隙,形容時間過得飛快。
101,歲月如梭,形容時間像織梭一樣快速流逝。
102,曇花一現,比喻人或事物出現的時間短暫。
103,光陰似箭,形容時間過得像飛箭一樣快。
104,物換星移,景物改變，星辰移動，形容時序交替，世事變遷。
105,滄海桑田,大海變成農田，農田變成大海，比喻世事變化巨大。
106,瞬息萬變,在極短的時間內變化很多。
107,日新月異,發展或進步迅速，每天每月都有新的變化。
108,千變萬化,變化無窮，沒有固定形態。
109,風雲變幻,比喻局勢複雜，變化迅速。
110,稍縱即逝,稍微一放鬆就消失了（多指時間或機會）。
111,白雲蒼狗,比喻世事變幻無常。
112,歷久彌新,經歷長久的時間而更加鮮活、新穎。
113,日積月累,長時間不斷地積累。
114,水滴石穿,水滴不斷地滴下，能把石頭滴穿，比喻只要有恆心，事情就能成功。
115,鐵杵成針,比喻只要有恆心，艱難的事情也能成功。
116,持久不懈,堅持不懈，長久努力。
117,時過境遷,時間過去，環境也改變了。
118,物是人非,景物依舊，人事已非。
119,百代過客,指時間或歷史的過客。
120,氣勢磅礴,形容氣勢宏大，不可阻擋。
121,浩氣長存,正氣永遠存在，永不消滅。
122,神采奕奕,形容精神飽滿，容光煥發。
123,英姿煥發,英勇威武的姿態煥發出來。
124,風度翩翩,形容舉止優雅瀟灑。
125,氣宇軒昂,形容氣度不凡，精神抖擻。
126,威風凜凜,形容聲勢威嚴，令人敬畏。
127,氣吞山河,形容氣魄宏大，有壓倒一切的氣勢。
128,雄心壯志,偉大的志向和宏偉的抱負。
129,器宇非凡,人的氣度、胸襟不平常。
130,落落大方,形容言談舉止自然、大方。
131,儀態萬千,姿態美麗多變，各種風情都有。
132,煥然一新,形容出現了嶄新的面貌。
133,生氣勃勃,形容充滿生氣和活力。
134,朝氣蓬勃,充滿朝氣和旺盛的生命力。
135,容光煥發,臉色紅潤，光彩照人。
136,生機盎然,充滿生機和活力。
137,氣象萬千,形容景象千變萬化，極為壯觀。
138,蔚為奇觀,匯聚成蔚為壯觀的景象。
139,宏偉壯麗,規模宏大，色彩鮮明壯麗。
140,冰清玉潔,像冰一樣清澈，玉一樣純潔，形容人品高潔。
141,高風亮節,崇高的風範與高尚的節操。
142,清正廉明,清白正直，廉潔明理。
143,剛正不阿,剛強正直，不逢迎巴結。
144,大公無私,完全為公眾利益著想，沒有私心。
145,光明磊落,胸懷坦蕩，言行正大光明。
146,德高望重,道德高尚，聲望很高。
147,克己奉公,嚴格約束自己，把公務放在首位。
148,廉潔奉公,廉潔守法，以公務為重。
149,抱璞守真,保持純真質樸的本性。
150,堅貞不屈,堅守節操，決不屈服。
151,安貧樂道,安於貧窮，堅守並追求真理與道義。
152,潔身自好,保持自己純潔，不同流合汙。
153,明辨是非,分清楚正確與錯誤、正義與邪惡。
154,言行一致,說出話來和做出的行動完全一致。
155,一諾千金,許下的承諾非常有價值（說到做到）。
156,誠實守信,真誠老實，講究信用。
157,赤誠相待,用最真誠的心對待人。
158,襟懷坦白,胸懷開闊，心地純潔坦白。
159,巧奪天工,人工的精巧勝過天然，形容技藝高超。
160,鬼斧神工,形容建築、雕刻等技藝非人工所能及，像鬼神製造的。
161,獨具匠心,具有獨創性的巧妙心思。
162,妙筆生花,比喻文筆極佳或寫作靈感豐富。
163,筆走龍蛇,形容書法筆勢雄健活潑。
164,字字珠璣,文章字句優美，像珍珠玉石一樣珍貴。
165,龍飛鳳舞,形容書法筆勢奔放，也形容山勢起伏。
166,洋洋灑灑,形容文章或言論豐富流暢。
167,引人入勝,引人進入美妙的境地（多指風景或文藝作品）。
168,扣人心弦,形容詩文、表演等感染力極強，激動人心。
169,餘音繞梁,歌聲或音樂優美，給人留下深刻印象，久久不散。
170,美輪美奐,形容房屋裝飾華麗美觀。
171,匠心獨具,具有獨特巧妙的心思。
172,層巒疊嶂,山巒重疊，峰巒起伏。
173,湖光山色,湖水的波光與山的景色，互相輝映。
174,春華秋實,春天開花，秋天結果，比喻修養與成果。
175,山清水秀,山光明媚，水色清秀。
176,風和日麗,微風和煦，陽光明媚。
177,鳥語花香,鳥兒歌唱，花朵飄香，形容春天的美好景象。
178,繁花似錦,繁盛的花朵像錦緞一樣美麗。
179,水到渠成,水流到的地方，渠道自然形成，比喻條件成熟，事情自然成功。
180,瓜熟蒂落,瓜熟了，蒂自然脫落，比喻時機成熟，事情自然成功。
181,功到自然成,下功夫深了，事情自然會成功。
182,繩鋸木斷,細繩子可以鋸斷木頭，比喻力量雖小，日久也能成功。
183,百煉成鋼,鐵經過多次煉製變成鋼，比喻人經受長期鍛鍊。
184,瓜田李下,比喻容易引起嫌疑的場合。
185,左右逢源,做事得心應手，應付自如。
186,如虎添翼,強者得到幫助，變得更強大。
187,錦上添花,在美好的事物上再添加美好。
188,雪中送炭,在別人急需時給予物質或精神上的幫助。
189,立竿見影,在竹竿下面豎起竹竿立刻看到影子，比喻見效極快。
190,水乳交融,結合得非常緊密、融洽。
191,相輔相成,兩件事物互相配合，互相補充，缺一不可。
192,息息相關,彼此呼吸相關聯，形容關係極為密切。
193,唇亡齒寒,嘴脣沒有了，牙齒就會感到寒冷，比喻利害相關。
194,相得益彰,兩件事物互相配合，雙方的長處更能顯露出來。
195,水落石出,水退去後石頭顯露出來，比喻真相大白。
196,才高八斗,形容人極有才華。
197,學富五車,形容書讀很多，學問淵博。
198,妙手回春,比喻醫師的醫術高明，能把垂死的人救活。
199,出口成章,說出話來就能成文章，形容才思敏捷，口才極佳。
200,下筆成章,一揮筆就能寫出文章，形容文思敏捷。
201,才華橫溢,才華充分顯露，無所不包。
202,出類拔萃,超出同類之上，形容才能特出。
203,卓爾不群,超出常人，與眾不同。
204,鶴立雞群,比喻才能或儀表出眾，在人群中特別顯眼。
205,才思敏捷,思考靈敏，反應極快。
206,文思泉湧,寫作的思路像泉水一樣湧現。
207,博學多聞,學識廣博，見聞豐富。
208,深入淺出,把深刻的道理用淺顯易懂的語言表達出來。
209,口若懸河,講起話來滔滔不絕，像瀑布傾瀉一樣。
210,侃侃而談,理直氣壯、從容不迫地談論。
211,對答如流,回答問題像流水一樣順暢，反應敏捷。
212,字斟句酌,寫文章或說話時，對字句仔細推敲琢磨。
213,臨危不亂,面臨危險時保持鎮定，不慌亂。
214,應變自如,面對變故能運用自如，處理得當。
215,見機行事,看清當時的情況，靈活採取行動。
216,隨機應變,隨著情況的變化靈活應付。
217,從容不迫,沉著鎮定，不慌不忙。
218,鎮定自若,遇到緊急情況時神情自然，毫不慌張。
219,化險為夷,使危險的處境轉為平安。
220,絕處逢生,在絕望的境地中找到生路。
221,柳暗花明,比喻在絕境中又出現了轉機或生路。
222,駕輕就熟,比喻對事情很熟悉，做起來很輕鬆。
223,熟能生巧,熟練了就能找到靈巧的方法。
224,井然有序,條理分明，絲毫不亂。
225,條理分明,層次清楚，非常有邏輯。
226,有條不紊,做事有條理，一點也不紊亂。
227,按部就班,按照一定的步驟、順序辦事。
228,步步為營,比喻行事謹慎，防備嚴密。
229,堅韌不拔,意志堅強，不動搖、不屈服。
230,百折不回,受到無數次挫折也絕不退縮。
231,聚沙成塔,微小的東西積少成多也能變大。
232,集腋成裘,狐狸腋下的皮毛雖小，集多也能做成皮襖，比喻積少成多。
233,積少成多,一點一滴累積起來就會變多。
234,日夜匪懈,日夜不懈怠，形容勤奮。
235,朝乾夕惕,形容勤勉戒懼，天天如此。
236,學而不厭,學習不感到滿足，形容好學。
237,韋編三絕,形容讀書勤奮，刻苦研讀。
238,情投意合,彼此心意契合，感情融洽。
239,生死之交,經歷過生死考驗的交情。
240,風雨同舟,在狂風暴雨中同乘一條船，比喻共度患難。
241,舉案齊眉,夫妻互相敬愛。
242,親密無間,形容關係親密，毫無距離。
243,報李投桃,比喻彼此互相贈答或友好往來。
244,心胸廣闊,心胸寬大，能包容事物。
245,海納百川,大海容納無數河流，比喻胸襟寬廣、包容力強。
246,虛懷若谷,形容人極為謙虛，胸懷像山谷一樣深廣。
247,安之若素,遇到不順或異常情況像平常一樣對待，安然處之。
248,氣定神閒,精神集中，心態平穩安閒。
249,寵辱不驚,受寵或受辱都不動心，形容極高的修養。
250,風輕雲淡,微風輕拂，雲朵淡雅，形容心情輕鬆或環境幽雅。
251,豁達大度,心胸開闊，度量宏大。
252,大度包容,度量大，能容納不同意見。
253,不計前嫌,不計較以前的過節和嫌隙。
254,宰相肚裡能撐船,形容人度量極大，能包容一切。
255,心如止水,心裡平靜得像靜止的水一樣，沒有雜念。
256,澄心清神,使心靈澄淨，精神清爽。
257,淡泊明志,追求恬淡的生活，不慕名利，以此表明自己的志向。
258,世事難料,世間的事情很難預料。
259,黃粱一夢,比喻虛幻的夢想或榮華富貴轉瞬即逝。
260,南柯一夢,比喻一場空歡喜或虛幻的夢境。
261,彈指之間,極短的時間。
262,白頭如新,交情到老還像新交一樣不了解。
263,傾蓋如故,剛認識就像老朋友一樣親密。
264,滄海一粟,大海裡的一顆穀粒，比喻非常渺小。
265,九牛一毛,許多牛身上的一根毛，比喻極大數量中的極少部分。
266,過眼雲煙,像眼前的雲煙一樣，轉眼就消失，比喻事物轉瞬即逝。
267,英姿颯爽,英勇威武、豪邁爽朗的姿態。
268,器宇不凡,人的氣度和胸襟不平常。
269,蔚然成風,某種風氣或事物逐漸發展盛行，形成風氣。
270,雄偉壯麗,規模宏大，色彩鮮明壯麗。
271,金碧輝煌,形容建築物裝飾華麗，光彩奪目。
272,清風亮節,高尚的風範與清廉的節操。
273,正氣凜然,正氣雄偉，令人敬畏。
274,剛柔並濟,剛強與柔和相互配合，恰到好處。
275,克勤克儉,既能勤勞又能節儉。
276,不矜不伐,不自大、不驕傲。
277,春風化雨,比喻良好的教育。
278,桃李芬芳,比喻學生眾多且成就優異。
279,斗轉星移,星斗變動位置，形容時間流逝或季節更替。
280,名副其實,名聲或名稱與實際相符。
281,水洩不通,形容擁擠或包圍得非常嚴密。
282,天衣無縫,比喻事物完美自然，沒有破綻。
283,皆大歡喜,大家都非常歡喜滿意。
